isc,Voc,FF,PCE,i_Rrad_MPP,i_Rsrh_MPP,i_Raug_MPP,i_RII_MPP,i_RIII_MPP,i_Rrad_OC,i_Rsrh_OC,i_Raug_OC,i_RII_OC,i_RIII_OC,i_Rrad_SC,i_Rsrh_SC,i_Raug_SC,i_RII_SC,i_RIII_SC
176.1524,0.998474865237244,0.633642143723499,11.14473525,40.29624,0.008422422,0.002417231,0.1341445,0.6481428,88.3245024,0.01728172,0.00802750124,85.398598,1.28197848,88.3245024,0.01728172,0.00802750124,85.398598,1.28197848
145.437,1.15203202383812,0.475381740132428,7.9649298516,0.0526271692,0.736394444,0.000382927148,20.4372676,7.64762092e-07,2.12469456,4.19149044,0.0240474684,132.840792,6.2789928,2.12469456,4.19149044,0.0240474684,132.840792,6.2789928
178.7083,0.480261430926672,0.370003555454086,3.17561855872,2.11859676,0.393508692,24.7607324,0.1722192144,151.692496,3.6843326,0.58502442,57.931622,53.348821,167.81592,3.6843326,0.58502442,57.931622,53.348821,167.81592
163.9816,0.792068481053885,0.443315965134579,5.7579942,247.0118,0.03610841,0.3502666,0.7845513,0.5248645,290.094556,0.0423125228,0.427182276,53.551304,0.537834636,290.094556,0.0423125228,0.427182276,53.551304,0.537834636
120.1226,0.809417853549506,0.556236208008677,5.40825,0.202385,4.701438e-05,0.001504718,3.524546e-07,11.75416,0.54959756,0.000122343436,0.00880370564,1.31696284e-06,119.562948,0.54959756,0.000122343436,0.00880370564,1.31696284e-06,119.562948
138.6025,0.793236178573436,0.590979445928539,6.497495,0.001484813,1.927461e-06,0.2994133,1.514159,6.838346,0.00439345132,5.69335536e-06,1.44308672,4.79175088,132.362912,0.00439345132,5.69335536e-06,1.44308672,4.79175088,132.362912
160.9938,0.87155266341893,0.792121540861321,11.11461975,0.004346345,0.007335087,0.005005614,7.671996,1.988138e-05,0.0101587398,0.014825792,0.0190668232,161.392384,4.39917096e-05,0.0101587398,0.014825792,0.0190668232,161.392384,4.39917096e-05
308.7833,0.794755158232615,0.239931026254535,5.888078226,154.51709,0.148069654,0.231083666,4.9002938,0.0001405089904,323.47698,0.29906108,0.55567596,7.7117236,0.00063988284,323.47698,0.29906108,0.55567596,7.7117236,0.00063988284
214.5532,0.998589875784096,0.115569776058249,2.47609000265,0.0278528954,0.00214679041,0.00479850257,0.000523618302,163.948177,0.294088124,0.0211009968,0.605942804,18.9238108,240.484564,0.294088124,0.0211009968,0.605942804,18.9238108,240.484564
308.8251,0.752807211342869,0.414026572491724,9.6255283328,0.0488923352,0.810634032,0.0893155692,194.587404,1.2936998408,0.179054324,1.70566532,0.638493372,280.039588,77.27276,0.179054324,1.70566532,0.638493372,280.039588,77.27276
254.739,0.894796413406255,0.822953455441081,18.7583635,0.001653945,0.0208529,0.001494717,12.54297,0.1287931,0.0052895512,0.039888946,0.0119716962,254.71608,0.73936888,0.0052895512,0.039888946,0.0119716962,254.71608,0.73936888
253.7472,0.897201962792092,0.773651516670088,17.61314275,0.7084244,0.03618698,0.04691188,10.01658,0.0008989063,4.09534796,0.208576948,0.544377384,248.256396,0.0298901604,4.09534796,0.208576948,0.544377384,248.256396,0.0298901604
322.6825,0.863192492612046,0.661569681962452,18.4271708268,0.0114616044,0.12156224,0.000466946728,14.906724,2.05839416,0.0217155216,0.398398904,0.00122283388,203.465032,118.64874,0.0217155216,0.398398904,0.00122283388,203.465032,118.64874
